,para,equity_curve
4031,"[900, 3.1]",0.6221007727763606
4156,"[930, 2.1]",0.6220154378384469
2824,"[630, 3.9]",0.6182734458419846
1828,"[410, 3.3]",0.6165094153817515
2691,"[600, 4.1]",0.6155198023753689
3269,"[730, 3.4]",0.6145310971159014
3135,"[700, 3.5]",0.6145258153753654
1207,"[270, 4.2]",0.6086750486557486
3313,"[740, 3.3]",0.6077922996974995
3404,"[760, 3.4]",0.605993309371987
3089,"[690, 3.4]",0.6058793936024344
4124,"[920, 3.4]",0.6030390938594548
1835,"[410, 4.0]",0.6027970691383001
2600,"[580, 4.0]",0.6020443728167919
3046,"[680, 3.6]",0.6007309196964263
2963,"[660, 4.3]",0.5998864008801976
2779,"[620, 3.9]",0.5995484991957906
3822,"[850, 4.7]",0.5987981588968627
2736,"[610, 4.1]",0.5966783285908935
4155,"[930, 2.0]",0.596171448186119
1567,"[350, 4.2]",0.5946127958555077
3054,"[680, 4.4]",0.5942559328669399
1932,"[430, 4.7]",0.5940929432580943
3867,"[860, 4.7]",0.5938753014734197
1249,"[280, 3.9]",0.5934968917187032
1572,"[350, 4.7]",0.5927424719017842
3416,"[760, 4.6]",0.5907843187899378
2648,"[590, 4.3]",0.5871808875646461
3044,"[680, 3.4]",0.5866571055880124
3008,"[670, 4.3]",0.5851127608441188
3912,"[870, 4.7]",0.5850964445398563
1885,"[420, 4.5]",0.5836277234018921
4351,"[970, 3.6]",0.5833970785498719
4396,"[980, 3.6]",0.5807998352815633
1523,"[340, 4.3]",0.5795136115720333
2278,"[510, 3.3]",0.5788399494934835
4170,"[930, 3.5]",0.5786745210258538
1479,"[330, 4.4]",0.5780248795711033
1696,"[380, 3.6]",0.5767016468497546
82,"[20, 4.2]",0.5766324794228529
4439,"[990, 3.4]",0.5762928867489165
2323,"[520, 3.3]",0.5756686347022383
3494,"[780, 3.4]",0.5754473830008885
2735,"[610, 4.0]",0.5751111808155062
1339,"[300, 3.9]",0.5734022699776703
3365,"[750, 4.0]",0.5721761891090481
494,"[110, 4.9]",0.5704615309987204
1700,"[380, 4.0]",0.5687787571569123
1787,"[400, 3.7]",0.5683717468810576
3957,"[880, 4.7]",0.566778319378187
3449,"[770, 3.4]",0.5667006267253698
4034,"[900, 3.4]",0.5652732655116005
1754,"[390, 4.9]",0.5650336090841191
3002,"[670, 3.7]",0.5650212481744998
1118,"[250, 4.3]",0.5627396872128909
3320,"[740, 4.0]",0.5615035504994758
2869,"[640, 3.9]",0.5601600307413143
3719,"[830, 3.4]",0.5600765365584321
